Month wise production (in MT)
Jun, 2016	6332	——–	——–	——–	  ——–	——–	——–	——–	——–	——–	——–	——–	6,332
Jul, 2016	17926	——–	——–	——–	  ——–	——–	——–	——–	——–	——–	——–	——–	17,926
Aug, 2016	22640	9324	4196	2640	  ——–	——–	——–	——–	——–	——–	——–	——–	38,800
Sep, 2016	3336	2606	32464	14766	  ——–	——–	——–	——–	——–	——–	——–	——–	53,172
Oct, 2016	——–	——–	——–	——–	1964	——–	——–	——–	——–	——–	——–	——–	1,964
Nov, 2016	——–	——–	——–	——–	11969	——–	——–	——–	——–	——–	——–	——–	11,969
Dec, 2016	——–	——–	41777	20021	19856	49692	——–	——–	——–	——–	——–	——–	1,31,346
Jan, 2017	——–	——–	52302	25537	33133	133815	——–	——–	——–	——–	——–	——–	2,44,787
Feb, 2017	——–	——–	47496	23316	32788	120146	——–	——–	——–	——–	——–	——–	2,23,746
Mar, 2017	——–	——–	52575	26315	46794	130014	——–	——–	——–	——–	——–	——–	2,55,698
Apr, 2017	——–	——–	50064	24417	50624	127107	——–	——–	——–	——–	——–	——–	2,52,212
May, 2017	——–	——–	51792	25963	194879	130437	——–	2403	——–	——–	——–	——–	4,05,474
Jun, 2017	——–	——–	46722	24183	241413	123951	10238	8850	——–	——–	——–	——–	4,55,357
Jul, 2017	——–	——–	54915	27102	Nil	Nil	40146	9686	34533	——–	——–	——–	1,66,382
Aug, 2017	——–	——–	50815	25695	——–	——–	37385	1855	37408	54,264	——–	——–	2,07,422
Sep, 2017	——–	——–	42732	24887	162206	58731	39465	27536	37629	110462	35418.	——–	5,39,066
Oct, 2017	——–	——–	52725	25122	353323	141698	41372	54480	38644	10345	72879	——–	7,90,588
Nov, 2017	——–	——–	50942	24799	308753	131253	37752	30855	37431	9091	67298	——–	6,98,174
Dec, 2017	——–	——–	47295	24847	296591	136667	39132	68367	38635	40379	51660	——–	7,43,573
Jan, 2018	——–	——–	45885	21330	242465	1,30908	37755	76489	36172	19526	45530	——–	6,56,060
Feb, 2018	——–	——–	38910	17166	3,08,889	110073	30303	44,289	28970	26,346	44237	——–	6,49,183
Mar, 2018	——–	——–	38,299	18,028	3,66,777	1,03,645	27,675	26,190	28,547	20,296	72,328	——–	7,01,785
Apr, 2018	——–	——–	35,418	16,713	7,61,941	97,836	24,651	36,979	21,570	17,477	70,602	——–	10,83,187
May, 2018	——–	——–	36,752	15,467	7,82,307	1,06,306	25,125	21,833	22,320	60,579	77,616	——–	11,48,305
Jun, 2018	——–	——–	32,556	14,680	7,13,364	1,05,775	15,372	–	5,040	35,195	67,260	——–	9,89,242
July, 2018	——–	——–	–	21,580	–	–	30,120	4,835	29,998	56,269	41,220	——–	1,84,022
Aug, 2018	——–	——–	–	19,415	–	–	–	73,260	23,905	41,986	40,135	——–	1,98,701
Sep, 2018	——–	——–	13,395	18,532	1,85,510	73,592	33,706	37,269	29,545	31,064	33,583	21,903	4,78,099
Oct, 2018	——–	——–	40,225	20,576	3,35,671	1,79,603	37,200	–	31,495	12,516	55,990	41,779	7,55,055
Nov, 2018	——–	——–	39,165	17,902	3,77,528	1,70,523	36,825	72,780	30,327	20,052	58,180	39,033	8,62,315
Dec, 2018	——–	——–	45,325	12,716	4,97,230	1,58,996	35,578	–	36,455	–	65,035	15,435	8,66,770
Jan, 2019	——–	——–	37,355	14,520	4,35,397	1,42,798	30,369	–	32,865	17,132	61,830	–	7,72,266
