Area,File Name
2389717.784,1965-R1_TableToExcel.xls
4264421.538,1965-R2_TableToExcel.xls
12501862.06,1965-R3_TableToExcel.xls
12744609.55,1965-R4_TableToExcel.xls
9545780.744,1965-R5_TableToExcel.xls
6773545.189,1965-R6_TableToExcel.xls
3511914.119,1965-R7_TableToExcel.xls
7472836.269,1965-R8_TableToExcel.xls
1789813.316,1965-R9_TableToExcel.xls
2105329.903,Mon-2016-R1_TableToExcel.xls
9839695.217,Mon-2016-R2_TableToExcel.xls
5135236.277,Mon-2016-R3_TableToExcel.xls
18946520.1,Mon-2016-R4_TableToExcel.xls
2178985.329,Mon-2016-R5_TableToExcel.xls
2888128.34,Mon-2016-R6_TableToExcel.xls
148115.538,Mon-2016-R7_TableToExcel.xls
232027.0831,Mon-2016-R8_TableToExcel.xls
162735.1681,Mon-2016-R9_TableToExcel.xls
242705.9794,Mon-2017-R1_TableToExcel.xls
731975.1948,Mon-2017-R2_TableToExcel.xls
2214288.149,Mon-2017-R3_TableToExcel.xls
503854.3729,Mon-2017-R4_TableToExcel.xls
687374.1424,Mon-2018-R1_TableToExcel.xls
599430.5998,Mon-2018-R2_TableToExcel.xls
1053802.914,Mon-2018-R3_TableToExcel.xls
609154.7512,Mon-2018-R4_TableToExcel.xls
658460.5498,Mon-2018-R5_TableToExcel.xls
375939.3904,Mon-2018-R6_TableToExcel.xls
72918.73591,Mon-2018-R7_TableToExcel.xls
44036.12039,Mon-2018-R9_TableToExcel.xls
772243.5065,Mon-2019-R1_TableToExcel.xls
433777.8044,Mon-2019-R2_TableToExcel.xls
909816.1094,Mon-2019-R3_TableToExcel.xls
459197.8859,Mon-2019-R4_TableToExcel.xls
779412.3185,Mon-2019-R5_TableToExcel.xls
1148950.274,Mon-2019-R6_TableToExcel.xls
77716.39504,Mon-2019-R7_TableToExcel.xls
265059.2794,Mon-2019-R8_TableToExcel.xls
220855.6557,Mon-2019-R9_TableToExcel.xls
1129871.294,Mon-2020-R1_TableToExcel.xls
839583.0377,Mon-2020-R2_TableToExcel.xls
1275043.315,Mon-2020-R3_TableToExcel.xls
910147.3831,Mon-2020-R4_TableToExcel.xls
860703.4176,Mon-2020-R5_TableToExcel.xls
1362448.701,Mon-2020-R6_TableToExcel.xls
858326.8355,Mon-2020-R7_TableToExcel.xls
357827.7346,Mon-2020-R8_TableToExcel.xls
551261.1216,Mon-2020-R9_TableToExcel.xls
767369.7263,Post-2016-R1_TableToExcel.xls
1194451.292,Post-2016-R2_TableToExcel.xls
966428.8254,Post-2016-R3_TableToExcel.xls
407804.7887,Post-2016-R4_TableToExcel.xls
584298.4035,Post-2016-R5_TableToExcel.xls
806167.4067,Post-2016-R6_TableToExcel.xls
869900.472,Post-2016-R7_TableToExcel.xls
511245.1314,Post-2016-R8_TableToExcel.xls
627013.087,Post-2016-R9_TableToExcel.xls
758477.0807,Post-2017-R1_TableToExcel.xls
2425089.199,Post-2017-R2_TableToExcel.xls
1687332.284,Post-2017-R3_TableToExcel.xls
1539638.381,Post-2017-R4_TableToExcel.xls
402095.1796,Post-2017-R5_TableToExcel.xls
579837.1799,Post-2017-R6_TableToExcel.xls
360683.8794,Post-2017-R7_TableToExcel.xls
489571.6721,Post-2017-R8_TableToExcel.xls
381374.6554,Post-2017-R9_TableToExcel.xls
814376.6316,Post-2018-R1_TableToExcel.xls
1943506.501,Post-2018-R2_TableToExcel.xls
1554458.163,Post-2018-R3_TableToExcel.xls
738248.1619,Post-2018-R4_TableToExcel.xls
1049668.07,Post-2018-R5_TableToExcel.xls
2068554.341,Post-2018-R6_TableToExcel.xls
855389.0021,Post-2018-R7_TableToExcel.xls
411655.115,Post-2018-R8_TableToExcel.xls
757391.3801,Post-2018-R9_TableToExcel.xls
1072737.738,Post-2019-R1_TableToExcel.xls
3033880.777,Post-2019-R2_TableToExcel.xls
2246687.265,Post-2019-R3_TableToExcel.xls
1522373.86,Post-2019-R4_TableToExcel.xls
2480389.011,Post-2019-R5_TableToExcel.xls
3879709.351,Post-2019-R6_TableToExcel.xls
763757.4598,Post-2019-R7_TableToExcel.xls
970575.9085,Post-2019-R8_TableToExcel.xls
505131.515,Post-2019-R9_TableToExcel.xls
1121288,Post-2020-R1_TableToExcel.xls
1957259.526,Post-2020-R2_TableToExcel.xls
1549986.443,Post-2020-R3_TableToExcel.xls
1122289.391,Post-2020-R4_TableToExcel.xls
666129.8053,Post-2020-R5_TableToExcel.xls
1269956.365,Post-2020-R6_TableToExcel.xls
337418.8799,Post-2020-R7_TableToExcel.xls
270790.6619,Post-2020-R8_TableToExcel.xls
423116.1491,Post-2020-R9_TableToExcel.xls
2407929.165,Pre-2017-R2_TableToExcel.xls
2609110.475,Pre-2017-R3_TableToExcel.xls
1569434.596,Pre-2017-R4_TableToExcel.xls
653052.6736,Pre-2017-R5_TableToExcel.xls
1198394.567,Pre-2017-R6_TableToExcel.xls
736204.8584,Pre-2017-R7_TableToExcel.xls
1381436.634,Pre-2017-R8_TableToExcel.xls
675657.4886,Pre-2017-R9_TableToExcel.xls
922143.064,Pre-2018-R1_TableToExcel.xls
2705970.129,Pre-2018-R2_TableToExcel.xls
2056715.455,Pre-2018-R3_TableToExcel.xls
1712043.38,Pre-2018-R4_TableToExcel.xls
431464.8226,Pre-2018-R5_TableToExcel.xls
916870.1135,Pre-2018-R6_TableToExcel.xls
1567900.473,Pre-2018-R7_TableToExcel.xls
1784827.521,Pre-2018-R8_TableToExcel.xls
1186578.895,Pre-2018-R9_TableToExcel.xls
1590408.543,Pre-2019-R1_TableToExcel.xls
2530699.872,Pre-2019-R2_TableToExcel.xls
1665468.691,Pre-2019-R3_TableToExcel.xls
163391.3937,Pre-2019-R4_TableToExcel.xls
467485.5051,Pre-2019-R5_TableToExcel.xls
1328412.035,Pre-2019-R6_TableToExcel.xls
1550698.332,Pre-2019-R7_TableToExcel.xls
32285.18515,Pre-2019-R8_TableToExcel.xls
22640.60421,Pre-2019-R9_TableToExcel.xls
1381906.529,Pre-2020-R1_TableToExcel.xls
1360239.376,Pre-2020-R2_TableToExcel.xls
2940387.584,Pre-2020-R3_TableToExcel.xls
1854144.973,Pre-2020-R4_TableToExcel.xls
2421888.295,Pre-2020-R5_TableToExcel.xls
1456205.543,Pre-2020-R6_TableToExcel.xls
823800.5224,Pre-2020-R7_TableToExcel.xls
300670.1242,Pre-2020-R8_TableToExcel.xls
158412.0552,Pre-2020-R9_TableToExcel.xls
949894.9992,Pre_2017-R1_TableToExcel.xls
